cluster,color,name,genes
0,#0173b2,0,"Recql,Ikbkb,Calhm2,Cbr2,Naf1,Tyrobp,Ccdc90b,Pnkd,Pyroxd2,Supt16,Pck2,Hspa4l,Sergef,Pclaf,Ifi27l2a,Lpcat1,Wrnip1,Gm16740,Sipa1l3,Map3k2,Qars,Adat1,Tcf7l1,Wrn,Wsb1,Phlda2,Shf,Tmem39a,Xlr4b,Clec4e"
1,#de8f05,1,"Haus1,Srp19,Ncoa1,Serf2,Cenpm,Mertk,Rhoq,Cyth3,Helz,Mrpl37,Usp5,Ppp1r8,Dgkd,Nek1,Cep97,Ppp2r1a,Jam2,Cenpv,Slc10a6,Tmem60,Eif2ak2,Krtdap,Srp68,Cyb5r1,Tspan2,Kif22,Hadhb,Surf1,Ppp1r9b,St8sia6"
2,#029e73,2,"Tubd1,Nfyc,Vsig10,9330160F10Rik,Hnrnpa1,Tnfrsf19,Hdac8,Bmi1,Rps10,Wdfy4,Ercc6,Oaz1,Nemf,Akap10,Wasf2,Airn,Nelfe,Pno1,Champ1,Mamld1,Cbx5,Nfe2l3,Entpd2,Gm45184,Jade2,Zswim4,Taf10,Card10,Arfrp1,Tbc1d10c"
3,#d55e00,3,"Meis1,Trak1,a,Mapre1,AC241534.1,mt-Nd1,Gabpb1,Katnal1,mt-Atp6,mt-Co2,Gm2788,P2rx4,Map2k6,Crebrf,Tgds,Rprd2,Ffar2,Zyx,Tmem45a,Gstt2,Iqce,Lpp,Hook3,Zxdc,Zfp469,2210408F21Rik,Armc9,Zzef1,mt-Atp8,Kat8"
4,#cc78bc,4,"Mical1,Phlda2,Capza1,Zfp397,9230112E08Rik,Gsta2,Kat8,Atp2a2,Map2k6,Kmt2e,Kat6b,Irf2bp2,Ints9,Foxred1,Sema3e,Vdr,Actr5,Dnajb14,Serinc2,F730043M19Rik,Itga3,AC241534.1,Pip4k2c,Usp33,Hdgfl2,Crebrf,Zyg11b,Mphosph9,Ppp1cc,Nubpl"
